Date,Close
2025-05-02,118.66
2025-05-01,120.04
2025-04-30,111.61
2025-04-29,113.98
2025-04-28,113.78
2025-04-25,108.05
2025-04-24,101.53
2025-04-23,98.86
2025-04-22,93.01
2025-04-21,92.84
2025-04-17,94.71
2025-04-16,96.28
2025-04-15,93.53
2025-04-14,95.80
2025-04-11,87.98
2025-04-10,88.40
2025-04-09,78.19
2025-04-08,83.29
2025-04-07,66.65
2025-04-04,80.07
2025-04-03,81.25
2025-04-02,82.40
2025-04-01,83.89
2025-03-31,80.00
2025-03-28,89.34
2025-03-27,91.01
2025-03-26,96.29
2025-03-25,97.22
2025-03-24,93.40
2025-03-21,85.85
2025-03-20,85.54
2025-03-19,84.55
2025-03-18,85.78
2025-03-17,88.44
2025-03-14,82.97
2025-03-13,82.85
2025-03-12,83.48
2025-03-11,75.79
2025-03-10,82.00
2025-03-07,80.03
2025-03-06,87.50
2025-03-05,86.35
2025-03-04,80.16
2025-03-03,88.55
2025-02-28,79.98
2025-02-27,91.91
2025-02-26,89.16
2025-02-25,90.65
2025-02-24,95.88
2025-02-21,107.68
2025-02-20,102.91
2025-02-19,123.86
2025-02-18,120.94
2025-02-14,117.90
2025-02-13,117.31
2025-02-12,110.29
2025-02-11,116.50
2025-02-10,112.03
2025-02-07,111.66
2025-02-06,101.09
2025-02-05,101.78
2025-02-04,102.80
2025-02-03,80.13
2025-01-31,81.00
2025-01-30,80.02
2025-01-29,79.95
2025-01-28,75.54
2025-01-27,74.07
2025-01-24,79.05
2025-01-23,76.04
2025-01-22,74.50
2025-01-21,73.24
2025-01-17,70.90
2025-01-16,69.08
2025-01-15,68.55
2025-01-14,67.18
2025-01-13,64.29
2025-01-10,66.01
2025-01-08,68.12
2025-01-07,75.20
2025-01-06,78.69
2025-01-03,75.39
2025-01-02,76.20
2024-12-31,77.58
2024-12-30,77.04
2024-12-27,81.42
2024-12-26,83.16
2024-12-24,81.09
2024-12-23,80.65
2024-12-20,72.64
2024-12-19,73.99
2024-12-18,74.30
2024-12-17,73.28
2024-12-16,75.06
2024-12-13,73.49
2024-12-12,72.30
2024-12-11,72.98
2024-12-10,71.99
2024-12-09,80.58
2024-12-06,72.95
2024-12-05,70.11
2024-12-04,71.13
2024-12-03,66.41
2024-12-02,67.44
2024-11-29,65.89
2024-11-27,66.24
2024-11-26,64.57
2024-11-25,66.90
2024-11-22,61.60
2024-11-21,62.04
2024-11-20,62.59
2024-11-19,59.51
2024-11-18,64.92
2024-11-15,61.01
2024-11-14,61.05
2024-11-13,61.52
2024-11-12,59.01
2024-11-11,60.13
2024-11-08,55.57
2024-11-07,55.82
2024-11-06,53.44
2024-11-05,47.86
2024-11-04,41.08
2024-11-01,41.93
2024-10-31,42.79
2024-10-30,44.58
2024-10-29,44.90
2024-10-28,45.05
2024-10-25,43.85
2024-10-24,42.89
2024-10-23,42.85
2024-10-22,42.69
2024-10-21,42.86
2024-10-18,42.01
2024-10-17,42.15
2024-10-16,42.40
2024-10-15,43.47
2024-10-14,43.72
2024-10-11,43.40
2024-10-10,42.92
2024-10-09,41.55
2024-10-08,39.29
2024-10-07,39.90
2024-10-04,39.65
2024-10-03,37.45
2024-10-02,36.30
2024-10-01,37.21
2024-09-30,36.58
2024-09-27,36.91
2024-09-26,37.26
2024-09-25,36.89
2024-09-24,37.97
2024-09-23,36.86
2024-09-20,36.01
2024-09-19,37.00
2024-09-18,35.90
2024-09-17,37.00
2024-09-16,35.78
2024-09-13,34.97
2024-09-12,34.86
2024-09-11,34.01
2024-09-10,34.81
2024-09-09,32.70
2024-09-06,30.60
2024-09-05,30.24
2024-09-04,30.00
2024-09-03,31.35
2024-08-30,31.05
2024-08-29,30.65
2024-08-28,30.62
2024-08-27,30.55
2024-08-26,31.43
2024-08-23,31.99
2024-08-22,32.55
2024-08-21,32.32
2024-08-20,32.50
2024-08-19,32.42
2024-08-16,31.04
2024-08-15,31.31
2024-08-14,30.62
2024-08-13,29.79
2024-08-12,30.22
2024-08-09,29.28
2024-08-08,27.04
2024-08-07,27.07
2024-08-06,27.05
2024-08-05,21.74
2024-08-02,24.75
2024-08-01,27.02
2024-07-31,27.02
2024-07-30,27.25
2024-07-29,27.56
2024-07-26,27.00
2024-07-25,26.04
2024-07-24,28.44
2024-07-23,28.34
2024-07-22,28.93
2024-07-19,28.31
2024-07-18,28.42
2024-07-17,28.00
2024-07-16,28.18
2024-07-15,28.42
2024-07-12,27.32
2024-07-11,28.49
2024-07-10,27.50
2024-07-09,27.93
2024-07-08,27.93
2024-07-05,26.00
2024-07-03,25.96
2024-07-02,25.84
2024-07-01,25.48
2024-06-28,25.28
2024-06-27,24.10
2024-06-26,24.47
2024-06-25,24.16
2024-06-24,23.44
2024-06-21,24.71
2024-06-20,26.44
2024-06-18,25.15
2024-06-17,23.47
2024-06-14,23.15
2024-06-13,23.85
2024-06-12,24.20
2024-06-11,23.06
2024-06-10,22.75
2024-06-07,23.24
2024-06-06,22.98
2024-06-05,22.48
2024-06-04,21.05
2024-06-03,21.70
2024-05-31,21.79
2024-05-30,21.28
2024-05-29,20.77
2024-05-28,21.06
2024-05-24,20.72
2024-05-23,21.39
2024-05-22,21.23
2024-05-21,21.34
2024-05-20,21.77
2024-05-17,21.78
2024-05-16,21.74
2024-05-15,21.73
2024-05-14,20.95
2024-05-13,20.60
2024-05-10,21.27
2024-05-09,21.49
2024-05-08,21.58
2024-05-07,21.99
2024-05-06,24.37
2024-05-03,23.48
2024-05-02,22.60
2024-05-01,21.93
2024-04-30,22.77
2024-04-29,22.75
2024-04-26,22.05
2024-04-25,20.82
2024-04-24,22.05
2024-04-23,21.25
2024-04-22,20.72
2024-04-19,20.98
2024-04-18,21.25
2024-04-17,22.01
2024-04-16,21.59
2024-04-15,22.79
2024-04-12,22.70
2024-04-11,22.65
2024-04-10,22.22
2024-04-09,23.01
2024-04-08,23.08
2024-04-05,22.42
2024-04-04,23.82
2024-04-03,22.44
2024-04-02,22.00
2024-04-01,22.98
2024-03-28,24.17
2024-03-27,25.00
2024-03-26,24.76
2024-03-25,24.12
